Class Name, Initialization Kind, Reason for Initialization
com.arjuna.ats.internal.arjuna.objectstore.jdbc.drivers.oracle_driver, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.objectstore.jdbc.drivers.postgres_driver, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.objectstore.jdbc.drivers.postgresql_driver, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.recovery.AtomicActionRecoveryModule, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.recovery.Connection, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.recovery.Connection$Callback, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.recovery.ExpiredEntryMonitor, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.recovery.ExpiredTransactionScanner, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.recovery.ExpiredTransactionStatusManagerScanner, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.recovery.Listener, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.recovery.Listener$1, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.recovery.PeriodicRecovery, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.recovery.PeriodicRecovery$Mode, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.recovery.PeriodicRecovery$Mode[], BUILD_TIME, arrays are initialized at build time
com.arjuna.ats.internal.arjuna.recovery.PeriodicRecovery$Status, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.recovery.PeriodicRecovery$Status[], BUILD_TIME, arrays are initialized at build time
com.arjuna.ats.internal.arjuna.recovery.RecActivatorLoader, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.recovery.RecoveryManagerImple, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.recovery.TransactionStatusConnector, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.recovery.TransactionStatusManagerItem, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.recovery.WorkerService, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.thread.ThreadActionData, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.jbossatx.jta.XAResourceRecoveryHelperWrapper, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.jta.CommitMarkableResourceRecordMap, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.jta.Implementations, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.jta.XAResourceRecordMap, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.jta.recovery.arjunacore.JTANodeNameXAResourceOrphanFilter, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.jta.recovery.arjunacore.JTATransactionLogXAResourceOrphanFilter, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.jta.recovery.arjunacore.NameScopedElement, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.jta.recovery.arjunacore.NameScopedXAResource, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.jta.recovery.arjunacore.NameScopedXid, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.jta.recovery.arjunacore.NodeNameXAResourceOrphanFilter, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.jta.recovery.arjunacore.RecoveryXids, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.jta.recovery.arjunacore.XARecoveryModule, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.jta.recovery.arjunacore.XARecoveryModule$ScanStates, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.jta.recovery.arjunacore.XARecoveryModule$ScanStates[], BUILD_TIME, arrays are initialized at build time
com.arjuna.ats.internal.jta.recovery.arjunacore.XARecoveryResourceImple, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.jta.recovery.arjunacore.XARecoveryResourceManagerImple, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.jta.resources.XAResourceErrorHandler, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.jta.resources.arjunacore.CommitMarkableResourceRecord$1, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.jta.resources.arjunacore.CommitMarkableResourceRecord$2, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.jta.resources.arjunacore.SynchronizationImple, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.jta.resources.arjunacore.XAOnePhaseResource, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.jta.resources.arjunacore.XAResourceRecord, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
