Class Name, Initialization Kind, Reason for Initialization
com.fasterxml.jackson.core.internal.shaded.fdp.v2_22_0.ParseDigitsTaskCharArray, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.internal.shaded.fdp.v2_22_0.ParseDigitsTaskCharSequence, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.io.BigDecimalParser, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.io.BigIntegerParser, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.io.CharTypes, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.io.CharTypes$AltEscapes, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.io.ContentReference, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.io.IOContext, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.io.JsonEOFException, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.io.JsonStringEncoder, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
